gene,kegg_id,kegg_pathway_count
OCA2,hsa:4948,0.0
DCT,hsa:1638,3.0
PMEL,hsa:6490,0.0
TYRP1,hsa:7306,3.0
MLANA,hsa:2315,0.0
TYR,hsa:7299,3.0
MC1R,hsa:4157,3.0
SOX10,hsa:6663,0.0
TFAP2A,hsa:7020,0.0
KIT,hsa:3815,11.0
MITF,hsa:4286,7.0
KITLG,hsa:4254,8.0
PAX3,hsa:5077,1.0
EDNRB,hsa:1910,6.0
EDN1,hsa:1906,12.0
PRKCB,hsa:5579,73.0
STAT3,hsa:6774,33.0
PIK3CA,hsa:5290,109.0
CTNNB1,hsa:1499,34.0
NFKB1,hsa:4790,77.0
PRKCD,hsa:5580,17.0
MAPK1,hsa:5594,120.0
STAT1,hsa:6772,29.0
MAPK8,hsa:5599,75.0
JAK1,hsa:3716,28.0
MAP3K1,hsa:4214,9.0
MAP2K4,hsa:6416,20.0
CREB1,hsa:1385,43.0
MAP2K7,hsa:5609,25.0
PRKG1,hsa:5592,11.0
SRC,hsa:6714,45.0
WNT5A,hsa:7474,17.0
ATF2,hsa:1386,27.0
PDPK1,hsa:5170,27.0
HIF1A,hsa:3091,14.0
AKT1,hsa:207,103.0
PRKACA,hsa:5566,72.0
MAP2K2,hsa:5605,80.0
GSK3B,hsa:2932,49.0
MAP3K5,hsa:4217,20.0
ELK1,hsa:2002,15.0
EGFR,hsa:1956,51.0
RAF1,hsa:5894,84.0
MAP2K6,hsa:5608,24.0
MAP2K1,hsa:5604,92.0
PRKCH,hsa:5583,2.0
PRKCZ,hsa:5590,16.0
RAC1,hsa:5879,56.0
MAPK14,hsa:1432,65.0
CDC42,hsa:998,34.0
RPS6KA1,hsa:6195,10.0
RAP1A,hsa:5906,17.0
PAK1,hsa:5058,20.0
USF1,hsa:7391,0.0
MAPK3,hsa:5595,120.0
FZD3,hsa:7976,18.0
FOS,hsa:2353,45.0
MAP2K3,hsa:5606,22.0
RHOA,hsa:387,44.0
MAP4K2,hsa:5871,1.0
HRAS,hsa:3265,85.0
JUN,hsa:3725,56.0
TNFRSF1A,hsa:7132,35.0
HGF,hsa:3082,17.0
MET,hsa:4233,25.0
TNF,hsa:7124,67.0
CSF2,hsa:1437,16.0
IL1R1,hsa:3554,13.0
NGF,hsa:4803,9.0
NTRK1,hsa:4914,11.0
IL6,hsa:3569,51.0
IL6R,hsa:3570,12.0
IL12A,hsa:3592,25.0
IL10,hsa:3586,23.0
IL1A,hsa:3552,21.0
IL8,,
CFLAR,hsa:8837,7.0
MCL1,hsa:4170,4.0
BCL2L1,hsa:598,28.0
FAS,hsa:355,32.0
TP53,hsa:7157,51.0
CASP3,hsa:836,46.0
BCL2,hsa:596,43.0
FASLG,hsa:356,31.0
BAX,hsa:581,50.0
CASP8,hsa:841,37.0
CASP9,hsa:842,35.0
DFFB,hsa:1677,1.0
DFFA,hsa:1676,1.0
BAK1,hsa:578,33.0
BAD,hsa:572,43.0
BBC3,hsa:27113,9.0
PMAIP1,hsa:5366,7.0
BID,hsa:637,24.0
MSN,hsa:4478,6.0
PPP3CA,hsa:5530,33.0
PTGS2,hsa:5743,23.0
CDH2,hsa:1000,4.0
PTGER4,hsa:5734,7.0
PIAS3,hsa:10401,2.0
RDX,hsa:5962,5.0
SPTLC2,hsa:9517,4.0
CCND1,hsa:595,49.0
GUCY1A2,hsa:2977,11.0
GAB1,hsa:2549,10.0
EZR,hsa:7430,8.0
RYR1,hsa:6261,8.0
CDK2,hsa:1017,19.0
PTGER3,hsa:5733,6.0
ICAM1,hsa:3383,19.0
CDK4,hsa:1019,28.0
NOS2,hsa:4843,19.0
ADCY4,hsa:196883,52.0
F7,hsa:2155,1.0
CYCS,hsa:54205,34.0
DUSP1,hsa:1843,4.0
F10,hsa:2159,1.0
SPTLC1,hsa:10558,4.0
PTGER2,hsa:5732,7.0
NOX1,hsa:27035,7.0
SMPD1,hsa:6609,5.0
CSF2RA,hsa:1438,4.0
GADD45A,hsa:1647,23.0
F2RL1,hsa:2150,3.0
CDKN1A,hsa:1026,41.0
MMP1,hsa:4312,8.0
SMPD2,hsa:6610,3.0
PTGER1,hsa:5731,4.0
TPSAB1,hsa:7177,1.0
