,betweenness_centrality,kegg_pathway_count,LOEUF,tau,skin_z,skin_rank,pbs1_african,pbs3_melanesian,pi_african,pi_melanesian
betweenness_centrality,1.0,0.3990543552920045,-0.1785706844787704,-0.15764794242608252,0.08117676344262027,-0.09689381311184772,0.13672650730628894,-0.03823718085497492,0.14797496046001787,0.12904379175267794
kegg_pathway_count,0.3990543552920045,1.0,-0.31035016170994373,-0.4561668085528048,-0.12943980615212486,0.1471159837210384,0.09610602244239655,-0.05930394885257925,-0.054782794119498775,-0.0593196910347975
LOEUF,-0.17857068447877036,-0.31035016170994373,1.0,0.34178205755353636,0.1289588352966739,-0.17138142553212043,-0.06744988938040401,0.03831664815259513,0.32172766384751506,0.17576562486031094
tau,-0.15764794242608252,-0.45616680855280484,0.34178205755353636,1.0,-0.04010240907386576,-0.09676651781773722,-0.23392578452489973,0.1431556409694187,0.19863667436251306,0.14608350208303778
skin_z,0.08117676344262027,-0.12943980615212483,0.1289588352966739,-0.04010240907386576,1.0,-0.9588290438815362,-0.14948859166011014,-0.16999006848873355,-0.006010499026195973,0.0838632289019876
skin_rank,-0.09689381311184772,0.1471159837210384,-0.17138142553212043,-0.09676651781773722,-0.958829043881536,1.0,0.19501245113765536,0.15750931195266343,-0.03429854257448536,-0.09780312676537009
pbs1_african,0.13672650730628894,0.09610602244239655,-0.06744988938040401,-0.23392578452489973,-0.14948859166011014,0.19501245113765536,1.0,0.03213847364280094,-0.041718332022029896,-0.1933595594020456
pbs3_melanesian,-0.03823718085497492,-0.059303948852579245,0.03831664815259514,0.1431556409694187,-0.16999006848873355,0.1575093119526634,0.03213847364280094,1.0,-0.05690637293469708,-0.400780487804878
pi_african,0.14797496046001787,-0.05478279411949877,0.32172766384751506,0.19863667436251306,-0.006010499026195973,-0.034298542574485356,-0.041718332022029896,-0.05690637293469708,1.0,0.6898001573564122
pi_melanesian,0.12904379175267797,-0.0593196910347975,0.17576562486031097,0.14608350208303778,0.0838632289019876,-0.09780312676537009,-0.1933595594020456,-0.400780487804878,0.6898001573564122,1.0
