gene_symbol,category,LOEUF,pLI,variant_type
HERC2,pigment_restricted,0.201,1.0,regulatory
GPR143,pigment_restricted,0.374,0.92526,none
IRF4,pigment_restricted,0.382,0.85677,regulatory
TPCN2,pigment_restricted,0.691,3.1241e-10,coding
OCA2,pigment_restricted,0.856,2.9064e-13,coding
MLPH,pigment_restricted,0.9,4.383e-10,none
SLC45A2,pigment_restricted,1.01,1.6634e-06,coding
SLC24A5,pigment_restricted,1.163,5.1503e-10,coding
DCT,pigment_restricted,1.174,7.3889e-14,regulatory
MFSD12,pigment_restricted,1.421,6.7265e-18,coding
ASIP,pigment_restricted,1.576,0.016298,regulatory
TYRP1,pigment_restricted,1.889,6.557000000000001e-25,regulatory
MLANA,pigment_restricted,1.952,1.2584e-09,none
TYR,pigment_restricted,1.964,4.9861e-32,coding
MC1R,pigment_restricted,1.967,8.1075e-11,coding
SOX10,pleiotropic,0.209,0.99166,none
ATP7A,pleiotropic,0.216,0.99983,none
MYO5A,pleiotropic,0.295,0.944,none
AP3D1,pleiotropic,0.296,0.98648,none
KIT,pleiotropic,0.305,0.98087,none
MITF,pleiotropic,0.308,0.98119,regulatory
AP3B1,pleiotropic,0.344,0.61532,none
KITLG,pleiotropic,0.419,0.85024,regulatory
PAX3,pleiotropic,0.475,0.24063,regulatory
EDNRB,pleiotropic,0.593,0.0092419,regulatory
HPS4,pleiotropic,0.633,0.00013778,none
EDN1,pleiotropic,0.635,0.45504,none
HPS1,pleiotropic,0.692,1.3245e-07,none
HPS6,pleiotropic,0.714,0.00027656,none
HPS5,pleiotropic,0.733,1.8969e-13,none
BLOC1S1,pleiotropic,0.963,0.070821,none
DTNBP1,pleiotropic,0.984,6.8375e-06,none
HPS3,pleiotropic,1.019,2.9432999999999997e-21,none
TFEC,pleiotropic,1.135,4.2824e-08,none
BLOC1S2,pleiotropic,1.178,0.011948,none
PMEL,pleiotropic,1.287,3.0571e-18,none
RAB32,pleiotropic,1.291,0.00065061,none
RAB38,pleiotropic,1.356,0.0019671,none
POMC,pleiotropic,1.384,0.00011658,regulatory
RAB27A,pleiotropic,1.653,3.0027e-07,none
BLOC1S6,pleiotropic,1.688,8.0385e-09,none
BLOC1S5,pleiotropic,1.808,2.8546e-09,none
BLOC1S4,pleiotropic,1.872,0.10151,none
BLOC1S3,pleiotropic,1.913,0.004077,none
